Type	Collection	Document	Layer	Feature	Position	start_char	end_char	connective	Flags	Arianna	Mariachiara	Arianna	Mariachiara	check_yesno	check_sense	disagreement_type	example
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	4263-4265 [se]	4263	4265	se	COMPLETE, USED	true	true	CONTINGENCY:Condition	CONTINGENCY:Condition				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	4283-4284 [e]	4283	4284	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	conjoined VPs	l'introduzione di elementi digitali all'interno dell'ambiente scolastico può sicuramente costituire una benvenuta innovazione, se viene coordinata e sorvegliata da un professore presente.
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	4339-4343 [però]	4339	4343	però	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	4714-4722 [Anche se]	4714	4722	Anche se	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	4817-4820 [per]	4817	4820	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	4997-5001 [solo]	4997	5001	solo	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5154-5158 [come]	5154	5158	come	DIFFERENCE, COMPLETE, USED	false	true	<no label>	EXPANSION:Conjunction	*	*	yes, but which sense?	Fondamentalmente risulta necessario un radicale mutamento delle modalità di verifica delle conoscenze, come anche di apprendimento, discusso prima.
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5159-5164 [anche]	5159	5164	anche	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5192-5197 [prima]	5192	5197	prima	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5360-5361 [e]	5360	5361	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	ellissi?	Molte volte i professori non capivano il peso di una lezione sugli studenti e viceversa [gli studenti non capivano il peso di una lezione per i professori].
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5362-5371 [viceversa]	5362	5371	viceversa	DIFFERENCE, COMPLETE, USED	true	false	COMPARISON:Contrast	<no label>	*	*	ellissi?	Molte volte i professori non capivano il peso di una lezione sugli studenti e viceversa [gli studenti non capivano il peso di una lezione per i professori].
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5649-5651 [ma]	5649	5651	ma	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5652-5657 [anche]	5652	5657	anche	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5709-5719 [Per quanto]	5709	5719	Per quanto	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	5841-5844 [per]	5841	5844	per	COMPLETE, USED	false	false	<no label>	<no label>				
